facilityid,id_overall,sd,smp,hs,s1,group,type,teach_num,sup_pnpm,sup_gov,sup_uni,sup_private,sup_ngo,sup_himpaudi,sup_socind,freq_wk,duration,tot_student,ratio,room_age_separate,parents_inv,refresher_training,visit_gov,room_avail,book,book_no,clean_water,toilet,bin,sink,weight_scale,heigth,head_measure,firstaid,facilities,population,household,poor_hh,poor_pct,poor_level,bpd,bpd_meet,cp_koperasi,cp_gotong_royong,cp_karangta3a,cp_health,cp_women,cp_labor,mean_cp,safe_play,safe_clean,safe_availplayground,safe_noharm,safe_noconflict,safe_ownership,mean_safe,pp_raskin,pp_blt,pp_pkh,pp_jamkesmas,pp_kur,pp_wash,pp_pnpminf,pp_pnpmeco,pp_pnpmsoc,pp_pnpmgen,mean_pp,market,capital_district,capital_regency,capital_prov,bank,terminal,health_service,hospital,primary_sc,junior_sc,high_school,university
122001,2.955,0,0,1,0,treatment,KB,1,No,Yes,No,No,No,No,No,5,120,19,19,0,Yes,Yes,1,1,1,27,0,1,1,1,1,1,1,1,26,2247,678,356,52.50737463,High,Yes,3,4,4,4,3,4,4,3.833333333,3,2,1,3,3,3,2.5,1,2,4,4,1,1,4,4,4,1,2.6,1,7,12,110,7,12,0.100000001,12,0.100000001,3,4,12
122101,3.59,0,0,0.5,0.5,control,TK,2,Yes,Yes,No,No,No,No,No,6,150,16,8,0,Yes,Yes,2,1,1,4,0,1,1,1,1,1,0,0,18,2247,678,356,52.50737463,High,Yes,3,4,4,4,3,4,4,3.833333333,3,2,1,3,3,3,2.5,1,2,4,4,1,1,4,4,4,1,2.6,1,7,12,110,7,12,0.100000001,12,0.100000001,3,4,12
123101,2.23,0,0,0,1,control,TK,3,Yes,Yes,No,No,No,No,No,6,120,38,13,1,Yes,Yes,0,1,1,10,1,1,1,2,1,0,0,2,23,3163,995,348,34.97487437,Moderate-High,Yes,2,4,4,3,1,4,4,3.333333333,3,3,3,3,3,3,3,1,2,4,4,1,1,3,4,1,1,2.2,10,12,10,110,10,10,3,11,1,3,9,10
123102,2.59,0,0,0,1,control,TK,2,Yes,Yes,No,No,No,No,No,6,150,42,21,1,Yes,Yes,0,1,1,10,0,0,2,0,1,1,0,2,20,3163,995,348,34.97487437,Moderate-High,Yes,2,4,4,3,1,4,4,3.333333333,3,3,3,3,3,3,3,1,2,4,4,1,1,3,4,1,1,2.2,10,12,10,110,10,10,3,11,1,3,9,10
124001,4.035,0,0,1,0,treatment,KB,1,No,No,No,No,No,No,Yes,4,120,15,15,0,Yes,Yes,3,1,1,10,1,1,1,1,1,1,1,1,27,1326,446,219,49.10313901,High,Yes,3,4,3,4,1,3,4,3.166666667,3,2,1,3,3,3,2.5,1,2,3,4,1,3,4,4,4,1,2.7,1,8,22,140,5,12,4,22,0.01,1,6,22
124101,4.565,0,0,0,1,control,TK,2,Yes,Yes,Yes,No,No,No,Yes,6,150,23,12,0,Yes,Yes,0,1,1,5,1,1,1,0,1,1,1,1,24,1326,446,219,49.10313901,High,Yes,3,4,3,4,1,3,4,3.166666667,3,2,1,3,3,3,2.5,1,2,3,4,1,3,4,4,4,1,2.7,1,8,22,140,5,12,4,22,0.01,1,6,22
125001,3.725,0,0,0.5,0.5,treatment,KB,2,No,No,No,No,No,No,Yes,5,120,28,14,1,Yes,Yes,1,1,1,20,1,1,1,1,1,1,1,1,27,1505,449,189,42.0935412,High,Yes,3,4,4,4,1,4,4,3.5,3,2,1,3,3,3,2.5,1,2,4,4,1,2,4,4,4,1,2.7,1.5,15,25,160,7,25,2,25,0.01,4,8,25
125101,3.02,0,0,0,1,control,TK,2,Yes,Yes,No,No,No,No,Yes,6,150,17,9,0,Yes,Yes,0,2,1,10,1,1,1,1,1,1,0,1,23,1505,449,189,42.0935412,High,Yes,3,4,4,4,1,4,4,3.5,3,2,1,3,3,3,2.5,1,2,4,4,1,2,4,4,4,1,2.7,1.5,15,25,160,7,25,2,25,0.01,4,8,25
126001,5,0,0.5,0,0.5,treatment,KB,2,No,Yes,No,No,No,No,Yes,6,150,45,23,1,Yes,Yes,3,3,1,22,1,1,1,1,1,1,1,1,31,1941,615,350,56.91056911,High,Yes,5,4,4,4,1,4,4,3.5,3,3,1,3,3,3,2.666666667,1,2,4,4,3,3,3,4,3,1,2.8,0.01,12,18,128,10,18,0.01,18,0.01,5,5,18
126102,2.925,0,0,0.5,0.5,control,TK,2,Yes,Yes,No,No,No,No,Yes,6,150,30,15,0,Yes,Yes,2,1,1,10,1,1,1,2,2,1,0,2,21,1941,615,350,56.91056911,High,Yes,5,4,4,4,1,4,4,3.5,3,3,1,3,3,3,2.666666667,1,2,4,4,3,3,3,4,3,1,2.8,0.01,12,18,128,10,18,0.01,18,0.01,5,5,18
