facilityid,id_overall,sd,smp,hs,s1,group,type,teach_num,sup_pnpm,sup_gov,sup_uni,sup_private,sup_ngo,sup_himpaudi,sup_socind,freq_wk,duration,tot_student,ratio,room_age_separate,parents_inv,refresher_training,visit_gov,room_avail,book,book_no,clean_water,toilet,bin,sink,weight_scale,heigth,head_measure,firstaid,facilities,population,household,poor_hh,poor_pct,poor_level,bpd,bpd_meet,cp_koperasi,cp_gotong_royong,cp_karangta3a,cp_health,cp_women,cp_labor,mean_cp,safe_play,safe_clean,safe_availplayground,safe_noharm,safe_noconflict,safe_ownership,mean_safe,pp_raskin,pp_blt,pp_pkh,pp_jamkesmas,pp_kur,pp_wash,pp_pnpminf,pp_pnpmeco,pp_pnpmsoc,pp_pnpmgen,mean_pp,market,capital_district,capital_regency,capital_prov,bank,terminal,health_service,hospital,primary_sc,junior_sc,high_school,university
143002,4.05,0,1,0,0,treatment,KB,1,Yes,Yes,No,No,No,No,Yes,4,120,11,11,0,Yes,No,3,1,1,7,1,1,1,1,1,1,1,1,24,1001,309,126,40.77669903,High,Yes,3,4,3,3,1,4,4,3.166666667,3,3,3,3,3,3,3,1,2,4,4,4,1,2,4,4,1,2.7,6,8,24,135,12,12,2,12,0.5,2,6,24
144001,2.73,0,0,1,0,treatment,KB,1,No,Yes,No,No,No,No,No,4,30,26,26,1,Yes,Yes,2,2,1,13,1,0,1,1,1,1,1,1,24,1756,491,416,84.72505092,High,Yes,3,4,3,4,1,4,4,3.333333333,4,1,3,3,3,4,3,1,2,4,4,4,4,2,4,4,1,3,7,12,35,135,7,35,2,35,0.01,7,8,35
144101,2.48,0,0,0.5,0.5,control,TK,2,No,Yes,No,No,No,No,Yes,6,105,54,27,1,Yes,Yes,2,2,1,20,0,0,2,0,0,1,1,2,15,1756,491,416,84.72505092,High,Yes,3,4,3,4,1,4,4,3.333333333,4,1,3,3,3,4,3,1,2,4,4,4,4,2,4,4,1,3,7,12,35,135,7,35,2,35,0.01,7,8,35
145001,3.255,0,0,1,0,treatment,KB,1,No,Yes,No,No,No,No,No,4,120,17,17,1,No,Yes,2,1,1,10,0,0,1,1,1,1,1,1,25,1856,465,170,36.55913978,Moderate-High,Yes,3,4,3,4,1,1,4,2.833333333,4,3,3,4,4,4,3.666666667,1,2,4,4,4,4,4,4,4,1,3.2,7,7,40,156,7,7,0.100000001,40,0.050000001,1.5,8,9
145101,3.53,0,0,0,1,control,TK,2,No,Yes,No,No,Yes,No,Yes,6,150,24,12,1,Yes,Yes,2,2,1,5,1,1,2,0,1,1,0,2,22,1856,465,170,36.55913978,Moderate-High,Yes,3,4,3,4,1,1,4,2.833333333,4,3,3,4,4,4,3.666666667,1,2,4,4,4,4,4,4,4,1,3.2,7,7,40,156,7,7,0.100000001,40,0.050000001,1.5,8,9
146001,3.07,0,0,1,0,treatment,KB,1,No,Yes,No,No,No,No,Yes,5,120,14,14,1,Yes,Yes,2,1,1,12,0,1,1,1,1,1,1,1,26,625,197,100,50.76142132,High,Yes,1,4,4,3,4,4,4,3.833333333,2,3,1,3,3,3,2.5,1,2,4,4,4,4,4,4,4,1,3.2,5,13,30,166,5,15,4,22,1,15,4,20
146101,2.785,0,0,0.5,0.5,control,TK,2,Yes,Yes,No,No,No,No,Yes,6,150,18,9,1,Yes,Yes,0,2,1,5,1,1,1,2,0,1,0,1,17,625,197,100,50.76142132,High,Yes,1,4,4,3,4,4,4,3.833333333,2,3,1,3,3,3,2.5,1,2,4,4,4,4,4,4,4,1,3.2,5,13,30,166,5,15,4,22,1,15,4,20
147101,2.455,0,0,1,0,control,TK,2,No,Yes,No,No,No,No,Yes,6,120,11,6,0,Yes,No,0,1,1,10,0,2,2,0,0,0,0,0,11,330,106,32,30.18867925,Moderate-High,Yes,,4,3,3,4,4,4,3.666666667,3,3,3,3,3,3,3,1,2,4,4,4,1,4,4,4,1,2.9,5,5,25,300,5,5,1,25,0.5,5,7,25
147201,2.83,0,0,0.5,0.5,control,KB,2,Yes,Yes,No,No,No,No,Yes,5,30,14,7,0,Yes,Yes,0,2,1,15,0,0,2,0,1,1,0,1,17,330,106,32,30.18867925,Moderate-High,Yes,,4,3,3,4,4,4,3.666666667,3,3,3,3,3,3,3,1,2,4,4,4,1,4,4,4,1,2.9,5,5,25,300,5,5,1,25,0.5,5,7,25
148001,3.645,0,0,1,0,treatment,KB,1,No,Yes,No,No,No,No,No,4,180,48,48,1,Yes,Yes,3,2,1,15,1,1,1,1,1,1,1,1,29,2317,751,345,45.93874834,High,Yes,2,4,4,4,2,4,4,3.666666667,3,3,3,3,3,3,3,1,2,4,4,1,2,2,4,3,1,2.4,3,3,12,136,3,6,1.5,10,0.100000001,3,12,12
148101,2.985,0,0.25,0.5,0.25,control,TK,4,No,Yes,Yes,No,No,No,No,6,150,61,15,1,Yes,Yes,0,3,1,40,0,0,2,0,1,1,1,1,25,2317,751,345,45.93874834,High,Yes,2,4,4,4,2,4,4,3.666666667,3,3,3,3,3,3,3,1,2,4,4,1,2,2,4,3,1,2.4,3,3,12,136,3,6,1.5,10,0.100000001,3,12,12
149002,3.1,0,0,1,0,treatment,KB,1,No,Yes,No,No,No,No,Yes,4,120,15,15,1,Yes,Yes,2,1,1,20,1,1,1,1,1,1,1,1,27,2586,785,337,42.92993631,High,Yes,1,4,4,4,4,4,4,4,2,2,1,3,3,3,2.333333333,1,2,4,4,4,2,3,4,1,1,2.6,6,4,18,142,6,6,6,10,0.5,6,6,18
149101,1.76,0,0,0.25,0.75,control,TK,4,Yes,Yes,No,No,No,No,No,6,90,44,11,1,No,Yes,0,1,1,15,1,0,1,1,0,1,0,2,18,2586,785,337,42.92993631,High,Yes,1,4,4,4,4,4,4,4,2,2,1,3,3,3,2.333333333,1,2,4,4,4,2,3,4,1,1,2.6,6,4,18,142,6,6,6,10,0.5,6,6,18
150101,3.31,0,0,0,1,control,TK,2,No,Yes,No,No,No,No,No,6,150,36,18,1,Yes,Yes,0,2,1,50,1,1,1,0,1,1,0,1,21,1560,464,260,56.03448276,High,Yes,1,4,4,4,2,4,4,3.666666667,3,2,3,3,2,3,2.666666667,1,2,3,4,3,1,4,4,2,3,2.7,6,4,20,134,5,6,2,15,0.01,4,4,20
150201,3.525,0,0,1,0,control,KB,2,No,Yes,No,No,No,No,Yes,6,120,12,6,1,Yes,Yes,0,2,1,16,1,1,1,1,1,1,1,1,23,1560,464,260,56.03448276,High,Yes,1,4,4,4,2,4,4,3.666666667,3,2,3,3,2,3,2.666666667,1,2,3,4,3,1,4,4,2,3,2.7,6,4,20,134,5,6,2,15,0.01,4,4,20
151101,3.215,0,0,0.33,0.67,control,TK,3,No,Yes,No,No,No,No,Yes,6,150,28,9,0,Yes,Yes,2,1,1,20,1,1,1,2,1,1,1,1,33,2354,623,139,22.31139647,Moderate-High,Yes,9,4,4,3,3,4,4,3.666666667,3,3,1,3,3,3,2.666666667,1,2,4,4,4,1,2,4,4,1,2.7,1,3,7,45,3,0.5,0,2,0.100000001,1.5,4,15
151201,3.345,0,0,0.6,0.4,control,TK,5,No,Yes,No,No,Yes,No,Yes,3,120,42,8,1,Yes,Yes,2,2,1,10,1,1,1,1,0,1,1,1,23,2354,623,139,22.31139647,Moderate-High,Yes,9,4,4,3,3,4,4,3.666666667,3,3,1,3,3,3,2.666666667,1,2,4,4,4,1,2,4,4,1,2.7,1,3,7,45,3,0.5,0,2,0.100000001,1.5,4,15
152101,5.575,0,0,0,1,control,TK,4,Yes,Yes,No,No,No,No,Yes,6,180,40,10,1,Yes,Yes,2,2,1,30,1,2,1,1,1,1,1,1,32,3265,959,279,29.09280501,Moderate-High,Yes,3,4,4,3,4,4,4,3.833333333,3,3,1,3,3,3,2.666666667,1,4,4,4,4,3,3,3,3,1,3,1,3,6,40,3,0.100000001,1,3,0.5,3,3,6
152102,3.915,0,0,0,1,control,TK,2,No,Yes,No,Yes,No,No,Yes,6,180,30,15,1,Yes,Yes,0,1,1,20,1,1,1,1,1,1,1,1,30,3265,959,279,29.09280501,Moderate-High,Yes,3,4,4,3,4,4,4,3.833333333,3,3,1,3,3,3,2.666666667,1,4,4,4,4,3,3,3,3,1,3,1,3,6,40,3,0.100000001,1,3,0.5,3,3,6
153101,4.425,0,0,0,1,control,TK,2,No,Yes,No,No,No,No,Yes,6,150,22,11,0,Yes,Yes,0,1,1,20,1,1,1,1,1,1,1,1,26,1556,389,150,38.56041131,Moderate-High,Yes,3,4,4,3,4,4,4,3.833333333,3,3,1,3,3,3,2.666666667,1,2,4,4,4,1,2,4,2,1,2.5,1,1.5,10,50,0.5,0.5,1.5,0.5,0.699999988,1.5,2.5,10
153102,3.205,0,0,0,1,control,TK,3,Yes,Yes,Yes,No,No,No,Yes,6,150,21,7,1,Yes,Yes,0,2,1,10,1,1,1,1,1,1,1,1,28,1556,389,150,38.56041131,Moderate-High,Yes,3,4,4,3,4,4,4,3.833333333,3,3,1,3,3,3,2.666666667,1,2,4,4,4,1,2,4,2,1,2.5,1,1.5,10,50,0.5,0.5,1.5,0.5,0.699999988,1.5,2.5,10
154101,4.035,0,0,0.25,0.75,control,TK,4,No,Yes,Yes,No,No,No,Yes,6,150,27,7,1,Yes,Yes,2,2,1,100,1,2,1,1,1,1,1,1,30,2443,712,169,23.73595506,Moderate-High,Yes,3,4,4,3,4,4,4,3.833333333,3,3,1,3,3,3,2.666666667,1,2,4,4,4,3,4,4,4,1,3.1,2.5,3,6,36,2,0.100000001,0.100000001,3,1,1,3,7
154102,4.17,0,0,0.5,0.5,control,TK,2,No,Yes,No,No,No,No,Yes,6,150,22,11,0,No,Yes,2,1,1,10,1,1,1,1,1,1,1,1,26,2443,712,169,23.73595506,Moderate-High,Yes,3,4,4,3,4,4,4,3.833333333,3,3,1,3,3,3,2.666666667,1,2,4,4,4,3,4,4,4,1,3.1,2.5,3,6,36,2,0.100000001,0.100000001,3,1,1,3,7
155101,3.765,0,0,0,1,control,TK,2,No,Yes,No,No,No,No,Yes,6,150,21,11,0,Yes,Yes,0,1,1,20,1,1,1,1,1,1,1,1,31,3164,819,521,63.61416361,High,Yes,5,4,4,4,4,4,4,4,3,3,1,3,3,3,2.666666667,1,2,4,4,4,1,4,4,4,4,3.2,3,3,5,37,3,0.100000001,2,6,0.300000012,2,2,7
155102,4.32,0,0,0.5,0.5,control,TK,2,No,Yes,No,No,No,No,Yes,6,165,20,10,0,Yes,No,5,1,1,20,1,1,1,1,1,1,0,1,26,3164,819,521,63.61416361,High,Yes,5,4,4,4,4,4,4,4,3,3,1,3,3,3,2.666666667,1,2,4,4,4,1,4,4,4,4,3.2,3,3,5,37,3,0.100000001,2,6,0.300000012,2,2,7
156002,3.825,0,0,1,0,treatment,KB,3,No,Yes,No,No,No,No,Yes,5,120,54,18,1,Yes,Yes,4,2,1,20,1,1,1,1,1,1,1,1,22,7989,2305,506,21.95227766,Moderate-High,Yes,3,4,4,4,4,4,4,4,3,3,1,3,3,3,2.666666667,1,4,4,4,4,1,3,4,3,2,3,1,1,2,30,1,0.100000001,0.100000001,2,0.100000001,0.800000012,1,2
156101,3.92,0,0,0.5,0.5,control,TK,2,No,Yes,No,No,No,No,Yes,6,150,23,12,0,Yes,Yes,1,2,1,50,1,1,1,0,1,1,1,1,26,7989,2305,506,21.95227766,Moderate-High,Yes,3,4,4,4,4,4,4,4,3,3,1,3,3,3,2.666666667,1,4,4,4,4,1,3,4,3,2,3,1,1,2,30,1,0.100000001,0.100000001,2,0.100000001,0.800000012,1,2
157002,4.08,0,0,0.5,0.5,treatment,KB,2,Yes,No,No,No,No,No,Yes,4,120,50,25,1,Yes,Yes,3,2,1,30,1,1,1,1,1,1,1,1,23,5143,436,218,50,High,Yes,6,4,4,2,4,4,4,3.666666667,3,3,1,3,3,3,2.666666667,1,2,4,4,4,4,4,4,1,1,2.9,0.5,7,10,40,0.100000001,0.100000001,1,0.5,0.100000001,0.200000003,4,10
157102,4,0,0,0,1,control,TK,4,No,Yes,No,No,No,No,Yes,6,180,40,10,0,Yes,Yes,4,2,1,20,1,1,1,1,1,1,1,1,27,5143,436,218,50,High,Yes,6,4,4,2,4,4,4,3.666666667,3,3,1,3,3,3,2.666666667,1,2,4,4,4,4,4,4,1,1,2.9,0.5,7,10,40,0.100000001,0.100000001,1,0.5,0.100000001,0.200000003,4,10
158002,4.095,0,0,0.67,0.33,treatment,KB,3,No,No,No,No,No,No,Yes,4,120,32,11,0,Yes,Yes,4,1,1,20,1,1,1,1,1,1,1,1,20,5325,1377,450,32.67973856,Moderate-High,Yes,3,4,4,3,4,4,4,3.833333333,3,3,1,3,3,3,2.666666667,1,2,4,4,4,1,4,4,2,1,2.7,0.5,3,10,40,5,0.5,2,10,0.100000001,5,5,10
158103,3.49,0,0,0.5,0.5,control,TK,2,No,Yes,No,No,No,No,Yes,6,150,32,16,0,Yes,Yes,3,1,1,20,1,1,1,1,1,1,1,1,28,5325,1377,450,32.67973856,Moderate-High,Yes,3,4,4,3,4,4,4,3.833333333,3,3,1,3,3,3,2.666666667,1,2,4,4,4,1,4,4,2,1,2.7,0.5,3,10,40,5,0.5,2,10,0.100000001,5,5,10
159001,2.35,0,0,1,0,treatment,KB,2,No,Yes,No,No,No,No,Yes,3,120,28,14,1,Yes,Yes,10,1,0,,1,1,1,1,1,1,1,1,26,3715,894,305,34.1163311,Moderate-High,Yes,5,4,4,3,4,4,4,3.833333333,3,3,1,3,3,3,2.666666667,1,2,4,4,4,1,4,4,3,1,2.8,3,3,6,30,3,3,0.100000001,6,0.100000001,3,3,6
159103,4.09,0,0,0,1,control,TK,1,No,Yes,No,No,No,No,Yes,6,150,8,8,0,Yes,Yes,2,1,1,30,2,2,1,0,1,1,1,2,26,3715,894,305,34.1163311,Moderate-High,Yes,5,4,4,3,4,4,4,3.833333333,3,3,1,3,3,3,2.666666667,1,2,4,4,4,1,4,4,3,1,2.8,3,3,6,30,3,3,0.100000001,6,0.100000001,3,3,6
160101,4.02,0,0,0.5,0.5,control,TK,2,No,Yes,No,No,Yes,No,Yes,6,150,24,12,0,Yes,Yes,4,1,1,50,2,2,1,1,1,1,1,1,30,1997,678,386,56.93215339,High,Yes,4,4,4,4,4,4,4,4,3,3,1,3,3,3,2.666666667,1,2,4,4,4,1,4,4,4,1,2.9,2,1.5,5,35,1.5,0.100000001,1.5,3,0,2.5,1.5,7
160201,3.76,0,0,0.25,0.75,control,TK,4,Yes,Yes,No,No,No,No,Yes,4,180,35,9,1,Yes,Yes,2,2,1,10,2,1,1,1,1,1,1,1,33,1997,678,386,56.93215339,High,Yes,4,4,4,4,4,4,4,4,3,3,1,3,3,3,2.666666667,1,2,4,4,4,1,4,4,4,1,2.9,2,1.5,5,35,1.5,0.100000001,1.5,3,0,2.5,1.5,7
161001,3.905,0,0,0.33,0.67,treatment,KB,3,Yes,Yes,No,Yes,No,No,Yes,4,120,40,13,1,Yes,Yes,12,1,1,50,1,1,1,1,1,1,1,1,31,1786,520,114,21.92307692,Moderate-High,Yes,4,4,4,3,4,4,4,3.833333333,3,3,1,3,3,3,2.666666667,1,2,4,4,4,1,3,4,3,2,2.8,0.100000001,0.200000003,6,36,0.200000003,0.100000001,0.300000012,7,0.300000012,1.5,1.5,8
161101,4.665,0,0,0,1,control,TK,6,No,Yes,No,No,No,No,Yes,6,150,63,11,1,Yes,Yes,3,3,1,200,1,2,1,1,1,1,1,1,34,1786,520,114,21.92307692,Moderate-High,Yes,4,4,4,3,4,4,4,3.833333333,3,3,1,3,3,3,2.666666667,1,2,4,4,4,1,3,4,3,2,2.8,0.100000001,0.200000003,6,36,0.200000003,0.100000001,0.300000012,7,0.300000012,1.5,1.5,8
162102,4.59,0,0,0.33,0.67,control,TK,3,No,Yes,No,No,Yes,No,Yes,6,150,15,5,0,Yes,Yes,3,1,1,50,2,1,1,1,1,1,1,1,30,2637,693,186,26.83982684,Moderate-High,Yes,3,4,4,4,4,4,4,4,3,3,1,3,3,3,2.666666667,1,2,4,4,4,1,4,4,4,1,2.9,0.699999988,3,17,30,1,3,0,2,10,2.5,3,17
162103,4.785,0,0,0,1,control,TK,2,Yes,Yes,No,Yes,No,Yes,Yes,6,150,16,8,0,Yes,Yes,2,1,1,11,1,1,1,1,1,1,1,1,27,2637,693,186,26.83982684,Moderate-High,Yes,3,4,4,4,4,4,4,4,3,3,1,3,3,3,2.666666667,1,2,4,4,4,1,4,4,4,1,2.9,0.699999988,3,17,30,1,3,0,2,10,2.5,3,17
163002,4.435,0,0,0.75,0.25,treatment,KB,4,No,No,Yes,No,No,No,Yes,3,120,28,7,1,Yes,Yes,0,1,1,25,1,1,1,1,1,1,1,1,29,5017,1495,332,22.20735786,Moderate-High,Yes,4,4,4,4,4,4,4,4,3,3,1,3,3,3,2.666666667,1,2,4,4,4,1,3,4,3,4,3,0.300000012,0.400000006,15,25,0.300000012,0.100000001,0.400000006,4,0.300000012,0.300000012,0.400000006,15
163101,4.32,0,0,0.33,0.67,control,TK,3,No,Yes,No,No,No,No,Yes,6,180,60,20,1,Yes,Yes,2,3,1,50,1,1,1,1,1,1,1,1,33,5017,1495,332,22.20735786,Moderate-High,Yes,4,4,4,4,4,4,4,4,3,3,1,3,3,3,2.666666667,1,2,4,4,4,1,3,4,3,4,3,0.300000012,0.400000006,15,25,0.300000012,0.100000001,0.400000006,4,0.300000012,0.300000012,0.400000006,15
164002,4,0,0,0.67,0.33,treatment,KB,3,No,Yes,Yes,Yes,No,No,Yes,4,120,44,15,1,Yes,Yes,0,2,1,49,1,0,1,1,0,1,1,1,23,5473,1459,441,30.22618232,Moderate-High,Yes,2,4,4,4,4,4,4,4,3,3,1,4,4,3,3,1,3,4,4,4,1,4,1,4,1,2.7,1.5,7,5,35,4,0.100000001,0.200000003,4,0.400000006,2,5,5
164202,2.32,0,0,1,0,control,TK,2,No,Yes,No,No,No,No,Yes,5,150,27,14,1,Yes,Yes,0,2,1,20,1,1,1,1,1,1,0,1,23,5473,1459,441,30.22618232,Moderate-High,Yes,2,4,4,4,4,4,4,4,3,3,1,4,4,3,3,1,3,4,4,4,1,4,1,4,1,2.7,1.5,7,5,35,4,0.100000001,0.200000003,4,0.400000006,2,5,5
165001,2.485,0,0.33,0.5,0.17,treatment,KB,6,No,No,No,No,Yes,No,Yes,3,120,32,5,1,Yes,Yes,1,1,1,10,1,0,1,1,1,1,1,1,17,4155,1230,448,36.42276423,Moderate-High,Yes,5,4,4,3,1,4,4,3.333333333,3,3,1,3,3,3,2.666666667,1,3,4,4,4,3,4,4,4,1,3.2,0.5,4,5,24,3,0.100000001,0.100000001,6,3,0.5,3,3
165201,3.355,0,0,1,0,control,KB,4,No,Yes,Yes,Yes,No,No,Yes,3,120,27,7,1,Yes,Yes,1,2,1,10,1,1,1,1,1,1,1,1,21,4155,1230,448,36.42276423,Moderate-High,Yes,5,4,4,3,1,4,4,3.333333333,3,3,1,3,3,3,2.666666667,1,3,4,4,4,3,4,4,4,1,3.2,0.5,4,5,24,3,0.100000001,0.100000001,6,3,0.5,3,3
166001,3.78,0,0,0.5,0.5,treatment,KB,2,No,Yes,Yes,No,Yes,No,Yes,3,120,25,13,0,Yes,Yes,0,1,0,,1,0,1,1,1,1,1,1,19,8817,5113,605,11.83258361,Low,Yes,3,4,4,4,4,4,4,4,3,3,1,3,3,3,2.666666667,1,2,4,4,4,4,4,4,4,3,3.4,1,0.300000012,2.5,45,1.200000048,0.200000003,2.5,3,0.200000003,0.5,0.100000001,1
166103,4.265,0,0,0,1,control,TK,5,No,Yes,No,Yes,Yes,No,Yes,6,150,41,8,1,Yes,Yes,3,3,1,25,1,1,1,1,1,1,1,1,31,8817,5113,605,11.83258361,Low,Yes,3,4,4,4,4,4,4,4,3,3,1,3,3,3,2.666666667,1,2,4,4,4,4,4,4,4,3,3.4,1,0.300000012,2.5,45,1.200000048,0.200000003,2.5,3,0.200000003,0.5,0.100000001,1
167002,4.55,0,0,0.5,0.5,treatment,KB,2,Yes,No,No,No,Yes,No,Yes,3,120,26,13,0,Yes,Yes,1,1,1,10,1,1,1,1,1,1,1,1,28,11437,2613,1205,46.11557597,High,Yes,5,4,4,4,4,4,4,4,3,3,1,3,3,3,2.666666667,1,2,4,4,4,2,4,4,3,3,3.1,0.300000012,3,6,35,3,3,3,5,0.200000003,3,1.5,5
167103,3.27,0,0,0,1,control,TK,2,No,Yes,No,No,No,No,Yes,6,150,17,9,0,Yes,Yes,0,1,1,100,1,2,2,0,1,1,1,1,23,11437,2613,1205,46.11557597,High,Yes,5,4,4,4,4,4,4,4,3,3,1,3,3,3,2.666666667,1,2,4,4,4,2,4,4,3,3,3.1,0.300000012,3,6,35,3,3,3,5,0.200000003,3,1.5,5
168002,3.82,0,0,0.75,0.25,treatment,KB,4,Yes,Yes,No,Yes,No,No,Yes,0.3,120,17,4,0,Yes,Yes,2,2,1,5,1,1,1,1,1,1,1,1,22,5898,1778,934,52.53093363,High,Yes,5,4,4,4,4,4,4,4,3,3,1,3,3,3,2.666666667,1,2,4,4,4,3,3,4,3,4,3.2,0.100000001,7,8,25,5,1,0.5,8,0.5,0.5,6,7
168101,4.22,0,0,0,1,control,TK,2,No,Yes,Yes,No,No,No,Yes,6,150,16,8,0,Yes,Yes,1,1,1,20,1,0,1,1,1,1,1,1,24,5898,1778,934,52.53093363,High,Yes,5,4,4,4,4,4,4,4,3,3,1,3,3,3,2.666666667,1,2,4,4,4,3,3,4,3,4,3.2,0.100000001,7,8,25,5,1,0.5,8,0.5,0.5,6,7
169102,3.96,0,0,0.5,0.5,control,TK,2,No,Yes,No,No,No,No,Yes,6,180,19,10,0,Yes,Yes,2,1,1,50,1,1,1,1,1,1,1,1,27,5913,1357,467,34.41414886,Moderate-High,Yes,11,4,4,4,4,4,4,4,3,3,1,3,3,3,2.666666667,1,2,4,4,4,3,4,4,1,4,3.1,2,2.5,15,25,2.5,0.5,1.5,4,0.100000001,0.100000001,0.100000001,2
169105,4.195,0,0,0,1,control,TK,2,No,Yes,No,No,No,No,Yes,6,150,30,15,1,Yes,Yes,3,2,1,10,1,1,1,1,0,0,0,1,20,5913,1357,467,34.41414886,Moderate-High,Yes,11,4,4,4,4,4,4,4,3,3,1,3,3,3,2.666666667,1,2,4,4,4,3,4,4,1,4,3.1,2,2.5,15,25,2.5,0.5,1.5,4,0.100000001,0.100000001,0.100000001,2
170101,4.165,0,0,0,1,control,TK,4,No,Yes,Yes,No,No,No,Yes,6,150,54,14,1,Yes,Yes,2,2,1,50,1,1,1,1,1,1,1,1,30,5602,1446,359,24.82710927,Moderate-High,Yes,3,4,4,4,4,4,4,4,3,3,1,3,3,3,2.666666667,1,4,4,4,4,3,4,4,4,4,3.6,0.600000024,0.5,20,23,0.100000001,0.100000001,1,0.5,0.100000001,0.100000001,0.5,15
170202,5.2,0.13,0,0.5,0.38,control,KB,8,Yes,Yes,No,No,No,No,Yes,3,150,35,4,1,Yes,Yes,1,4,1,20,1,1,1,1,1,1,1,1,25,5602,1446,359,24.82710927,Moderate-High,Yes,3,4,4,4,4,4,4,4,3,3,1,3,3,3,2.666666667,1,4,4,4,4,3,4,4,4,4,3.6,0.600000024,0.5,20,23,0.100000001,0.100000001,1,0.5,0.100000001,0.100000001,0.5,15
171101,3.39,0,0,0.5,0.5,control,TK,2,No,Yes,No,Yes,No,No,Yes,6,150,36,18,1,Yes,Yes,1,2,1,100,1,1,1,1,1,1,1,1,30,5887,1251,409,32.69384492,Moderate-High,Yes,5,4,4,4,4,4,4,4,3,3,1,4,3,3,2.833333333,1,2,4,4,4,2,4,4,4,4,3.3,0.100000001,1,8,18,0.5,0.100000001,0.100000001,0.5,0.100000001,0.100000001,0.699999988,15
171202,4.21,0,0,0.83,0.17,control,KB,6,Yes,Yes,No,No,No,No,Yes,5,270,42,7,1,Yes,Yes,3,3,1,150,1,1,1,1,1,1,1,1,22,5887,1251,409,32.69384492,Moderate-High,Yes,5,4,4,4,4,4,4,4,3,3,1,4,3,3,2.833333333,1,2,4,4,4,2,4,4,4,4,3.3,0.100000001,1,8,18,0.5,0.100000001,0.100000001,0.5,0.100000001,0.100000001,0.699999988,15
172002,1.68,0,0,0.67,0.33,treatment,KB,3,Yes,No,No,No,No,No,No,2,120,15,5,0,Yes,Yes,3,1,1,30,1,0,1,1,1,1,1,1,22,11617,2844,1083,38.08016878,Moderate-High,Yes,2,4,4,4,4,4,4,4,3,3,1,3,3,3,2.666666667,1,2,4,4,4,2,4,4,3,2,3,0.5,8,30,30,0.100000001,0.100000001,0.5,5,0.200000003,0.5,1,30
172106,4.39,0,0,0,1,control,TK,3,No,Yes,No,Yes,No,No,Yes,6,150,27,9,1,Yes,Yes,0,1,1,15,1,1,1,1,1,1,1,1,28,11617,2844,1083,38.08016878,Moderate-High,Yes,2,4,4,4,4,4,4,4,3,3,1,3,3,3,2.666666667,1,2,4,4,4,2,4,4,3,2,3,0.5,8,30,30,0.100000001,0.100000001,0.5,5,0.200000003,0.5,1,30
175002,3.915,0,0,0.75,0.25,treatment,KB,4,Yes,No,No,No,Yes,No,Yes,2,120,25,6,0,Yes,Yes,0,1,1,10,1,1,1,1,1,1,1,1,25,6224,1359,454,33.40691685,Moderate-High,Yes,2,4,4,4,4,4,4,4,3,3,1,3,3,3,2.666666667,1,2,4,4,4,1,4,4,1,1,2.6,0.5,6,28,32,2.5,1,0,2,0.300000012,1.5,2.5,28
175101,3.55,0,0,0,1,control,TK,4,No,Yes,No,Yes,No,No,Yes,6,150,40,10,1,Yes,Yes,3,2,1,100,1,1,1,1,1,1,1,1,24,6224,1359,454,33.40691685,Moderate-High,Yes,2,4,4,4,4,4,4,4,3,3,1,3,3,3,2.666666667,1,2,4,4,4,1,4,4,1,1,2.6,0.5,6,28,32,2.5,1,0,2,0.300000012,1.5,2.5,28
173002,2.89,0,0,1,0,treatment,KB,1,Yes,No,Yes,No,No,No,Yes,2,120,16,16,0,Yes,Yes,1,1,1,10,1,1,1,1,1,1,1,1,24,8054,1935,910,47.02842377,High,Yes,3,4,4,4,4,4,4,4,3,3,1,3,3,4,2.833333333,1,2,4,4,4,2,4,4,3,3,3.1,1,2,35,35,2,1,0.01,6,0.100000001,0.100000001,8,35
173101,3.365,0,0,0.67,0.33,control,TK,3,No,Yes,No,No,No,No,Yes,6,150,37,12,1,Yes,Yes,1,2,1,20,1,1,1,0,1,1,1,1,23,8054,1935,910,47.02842377,High,Yes,3,4,4,4,4,4,4,4,3,3,1,3,3,4,2.833333333,1,2,4,4,4,2,4,4,3,3,3.1,1,2,35,35,2,1,0.01,6,0.100000001,0.100000001,8,35
174002,2.21,0,0.5,0.5,0,treatment,KB,2,No,Yes,No,No,No,No,Yes,2,120,31,16,0,Yes,Yes,0,1,0,,1,1,1,1,1,1,1,1,24,2634,704,308,43.75,High,Yes,2,4,4,4,4,4,4,4,4,3,1,3,3,3,2.833333333,1,2,4,4,4,4,4,4,4,1,3.2,5,14,36,36,14,14,4,8,2,3.5,4,36
174101,1.965,0,0,0,1,control,TK,1,No,Yes,No,No,No,No,Yes,6,150,15,15,0,Yes,No,0,1,1,5,2,2,2,2,1,1,1,1,23,2634,704,308,43.75,High,Yes,2,4,4,4,4,4,4,4,4,3,1,3,3,3,2.833333333,1,2,4,4,4,4,4,4,4,1,3.2,5,14,36,36,14,14,4,8,2,3.5,4,36
176002,4.87,0,0,1,0,treatment,KB,2,No,No,No,No,No,No,Yes,2,120,39,20,1,Yes,Yes,1,3,1,10,1,1,1,0,1,1,1,1,28,3568,1085,430,39.63133641,Moderate-High,Yes,6,4,4,4,4,4,4,4,3,3,1,3,3,3,2.666666667,1,2,4,4,4,3,4,4,3,3,3.2,5,5,30,35,5,5,0.100000001,17,1,3,3,35
